Model,Scenario,Region,Variable,Unit,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IIASA 2023,SSP1,Aruba,GDP|PPP per capita,USD_2021/yr,46305.993328695404,51670.07060132817,57469.63635644042,63306.6186324169,68673.28646673355,73645.96037600131,78865.05142890036,85392.88860869159,93164.54574555908,101292.0390316195,110031.56393293616,119487.8751452782,129604.47151049391,140120.93146566206,150773.2375888668,159107.76483091392
IIASA 2023,SSP1,Afghanistan,GDP|PPP per capita,USD_2021/yr,978.8054375306644,1271.8251024535423,1681.9404561549263,2243.358358728003,2987.8009858756154,3943.0468772288796,5037.924585927322,6262.669427502115,7558.308990370997,8921.302233830094,10275.20478857773,11592.59863179013,12861.611047791248,14103.176761247907,15336.74361687494,16188.403963365039
IIASA 2023,SSP1,Angola,GDP|PPP per capita,USD_2021/yr,6809.976397116508,7112.428424125679,7412.278785464213,8014.71606622026,8895.362475807558,10211.556540399339,11991.563070735732,14298.696174601324,17031.86873042572,20158.517722436947,23534.62362583279,27052.20971881073,30584.77281186018,34116.048877803136,37535.00048108612,39854.632844287466
IIASA 2023,SSP1,Albania,GDP|PPP per capita,USD_2021/yr,18768.936302121885,21285.792019709243,24353.03478622918,28660.51297242718,32627.39973421301,36442.06530393512,40472.11286767491,45453.87922545422,51803.53702882942,57871.13655192735,63373.698967027376,68244.73484175817,72932.96781648613,77486.33003459747,82246.24109350856,85396.30192015354
IIASA 2023,SSP1,United Arab Emirates,GDP|PPP per capita,USD_2021/yr,88792.29128024142,105762.25020857286,124384.40502536489,138253.0534278737,148352.27204007583,155379.49275270736,164646.76053199865,177301.79359104895,193656.60954457044,210295.5275020429,223346.65798234238,233343.3020867106,241835.98423840365,249806.76479512302,257082.59021303488,259549.4403462521
IIASA 2023,SSP1,Argentina,GDP|PPP per capita,USD_2021/yr,26058.15479921224,28810.42951007245,31951.215158176376,35404.443854189914,39191.53046273826,43236.46634054243,47186.868207869156,51634.43585385718,56132.086594885644,60542.435551544695,64389.62755470024,67856.5033299319,71213.43386176154,74696.8260735007,79024.56250265217,83124.88617988811
IIASA 2023,SSP1,Armenia,GDP|PPP per capita,USD_2021/yr,20681.499901764255,22178.510526777485,24131.03459796752,26796.354483416653,29702.174184983585,32764.320956679887,36267.24472953806,40551.066687941086,45312.965647514706,49789.314860608756,54055.414850595545,58305.14028402408,62788.89849958382,67318.88679622176,71681.30487596689,74023.26654844369
IIASA 2023,SSP1,Antigua and Barbuda,GDP|PPP per capita,USD_2021/yr,25459.415687343615,28827.067112617737,32672.5762907006,37630.40545599952,42981.33236489949,48530.85080415022,53646.131038966836,59271.649935722504,64741.530487756776,69939.18184385906,74691.31296113097,79099.27798565335,83116.40927664204,87763.72608494523,93754.04889957914,99140.48965236403
IIASA 2023,SSP1,Australia,GDP|PPP per capita,USD_2021/yr,60547.85008981067,63667.46433531506,66929.39308851886,69955.72780309919,73641.53480701445,77902.16875855837,82644.83646204049,88384.26962054837,94816.4416007944,101336.86131346328,107700.39004943946,114311.55292410609,121326.1686841904,128838.56133697572,136502.08343832355,140684.73126559987
IIASA 2023,SSP1,Austria,GDP|PPP per capita,USD_2021/yr,64603.96098266627,67789.62418248403,71318.71623159073,75680.45851262243,79444.55710873118,83354.7675136056,87236.0381528279,94144.94467505977,102205.91763202363,110809.11538797243,119324.47391528335,127753.18590223625,136360.89032020283,145393.1751578987,154636.95216728598,160403.4173538069
IIASA 2023,SSP1,Azerbaijan,GDP|PPP per capita,USD_2021/yr,17495.40785188631,18734.308970150225,19742.862614403508,21460.778704615343,23906.771150600543,26612.22226898448,29464.227373935686,32755.1432610482,36533.95711501604,40476.47151869535,44251.730166924055,48000.55998668254,51994.06253235305,56072.51904976416,59917.70089999429,62197.80652308278
IIASA 2023,SSP1,Burundi,GDP|PPP per capita,USD_2021/yr,865.5241436801009,1260.5590723716593,1823.22977822749,2621.328705523633,3739.5990217173435,5279.520861547366,7239.454588073549,9541.61761702687,12059.693251884133,14692.235032249693,17320.55971297832,19839.479420584354,22270.810194545065,24624.01348273175,26938.411516107466,28581.875277235282
IIASA 2023,SSP1,Belgium,GDP|PPP per capita,USD_2021/yr,60407.361704551215,64887.75797063485,69223.02893096211,74011.3763439539,77988.74223263148,81734.3180902258,86041.56766910382,92542.20482550823,99990.11281811903,107488.34502109472,115011.59023837,122930.38238855918,131363.14269991362,140214.54569246073,148942.99919995596,153801.70934343664
IIASA 2023,SSP1,Benin,GDP|PPP per capita,USD_2021/yr,4264.5120949964,5281.125498650143,6641.911607278989,8438.942771908916,10810.04187053506,13841.560304077146,17346.601532372184,21254.76428496041,25358.300769981324,29602.456419501614,33713.25027513082,37636.470887601135,41235.90597653118,44662.700223627326,47960.023516153786,50112.14492681528
IIASA 2023,SSP1,Burkina Faso,GDP|PPP per capita,USD_2021/yr,2704.4046685439803,3281.390721366703,4032.617390090083,5076.426934005614,6378.299362498361,8107.777603097537,10214.928408095115,12701.791149696284,15383.888507260457,18219.538402131602,21132.357418129493,24050.760598045817,26888.48244346347,29635.2946147688,32300.333189746492,34138.00363974369
IIASA 2023,SSP1,Bangladesh,GDP|PPP per capita,USD_2021/yr,8707.23488349807,10155.155608010753,12116.191179513797,14845.964725137741,18169.585364527342,22181.350923932372,26809.594007223615,32453.877643503165,38834.77635022459,45801.943909066686,52942.36272415238,59844.38232951657,66086.4225439574,71843.03636417809,77361.52776444983,81486.46940035936
IIASA 2023,SSP1,Bulgaria,GDP|PPP per capita,USD_2021/yr,31058.654827632516,33213.042434338786,35808.6629452678,38771.1778932136,41446.099242682445,44453.878525095075,47849.53398385966,52466.81680796981,57342.38349797525,61728.19249572921,65722.08475219183,69617.34105698425,73539.66759052742,77484.90876535697,81332.35139518847,83339.62959490961
IIASA 2023,SSP1,Bahrain,GDP|PPP per capita,USD_2021/yr,57092.122900832306,58363.712981574165,60668.71714786312,64306.72870866167,65626.18853755457,67884.13023487577,70294.74598679894,76374.45882707213,83317.81944002185,90844.36051177593,98059.65342396733,104954.18734231032,111667.52665525333,118374.75789610446,124656.43217447137,128420.53287124303
IIASA 2023,SSP1,Bahamas,GDP|PPP per capita,USD_2021/yr,39318.47227882174,42706.24438532516,46084.52480920048,48975.7912602331,51954.166068552506,55331.036240933216,58633.93812496153,61961.71118991597,65161.75017516066,68257.467372983,71516.91893752682,75962.64931588256,81227.34552779944,87126.02521888328,93530.2699799798,98868.76900927315
IIASA 2023,SSP1,Bosnia and Herzegovina,GDP|PPP per capita,USD_2021/yr,20410.572820383008,23059.31111999499,26287.408213182305,29984.244167761528,33560.48413398164,37217.8451989059,41322.90487736784,46071.27648829196,51056.28393074736,56135.035882967946,60953.867889001085,65513.31236949962,69991.9942809011,74558.0832651151,79163.3219315534,82242.0141551439
IIASA 2023,SSP1,Belarus,GDP|PPP per capita,USD_2021/yr,21273.86245346999,23633.064146927933,25986.580758654483,27835.492818697243,29940.459165992714,32123.269149143052,34648.55894992443,37553.85578564522,40256.99224253054,42678.540241244315,45042.65161416439,47470.53420161762,49982.1809545779,52483.66867452057,54764.27597949623,55670.06837843547
IIASA 2023,SSP1,Belize,GDP|PPP per capita,USD_2021/yr,10969.133694968394,15009.670399471685,20221.104623528292,26002.213454304445,31847.82317753301,37574.07330857549,42990.14676679205,48643.12665136595,54178.88849902917,59583.21443710574,64613.24684584678,69082.41548131019,72952.34944844036,76630.41604712058,80298.392600017,82709.50207142174
IIASA 2023,SSP1,Bolivia,GDP|PPP per capita,USD_2021/yr,9361.00762311289,11333.35985559994,13693.342729926117,16389.396178005307,19240.504115506952,22243.013922716204,25172.313611398182,28303.05532476135,31440.555509939015,34560.51754568003,37562.06975865154,40413.96626425057,43135.94775385851,45775.77064524404,48260.96665012531,49784.54420650498
IIASA 2023,SSP1,Brazil,GDP|PPP per capita,USD_2021/yr,17280.492984974175,18966.340844864808,21061.605960630463,23808.697900780793,26919.909700882064,30621.682436537234,34487.830847027486,39189.1803573127,43961.211177700396,48872.143218858604,53548.45060991173,57831.04976642783,61707.436541044655,65523.65369516003,69052.90290090343,71424.92384115385
IIASA 2023,SSP1,Barbados,GDP|PPP per capita,USD_2021/yr,18669.413137262523,21050.8805801625,24036.251689139113,27967.89870454088,32528.92813248842,37447.14086905917,42250.173253055385,47490.67398687644,52685.74670284178,57672.76653424594,62428.71973142509,66923.44688552048,71061.22912020407,75009.32673230294,78840.8026340539,81292.51710319304
IIASA 2023,SSP1,Brunei Darussalam,GDP|PPP per capita,USD_2021/yr,69869.33591831631,72740.48803314003,76056.54289553109,79757.65785472956,83641.39159652282,88239.98199488968,93796.30375683607,101205.07223062843,109509.10526894522,118075.85438159069,126559.69139258804,134498.8308641301,142261.42092963663,150046.86448049013,157627.63109323272,162074.92225741642
IIASA 2023,SSP1,Bhutan,GDP|PPP per capita,USD_2021/yr,13439.3429754555,15717.30576705037,18622.07115609228,22073.460988436877,25805.235364042997,29700.388921001068,33911.8259781914,38405.65107968206,43346.37328591038,48323.09621295449,52851.82744229332,56475.69520645711,59642.586619635236,62501.62286685872,65379.712052403396,67224.09390442086
IIASA 2023,SSP1,Botswana,GDP|PPP per capita,USD_2021/yr,18708.516855816684,21911.654234197373,25501.75877618012,29145.226939152435,32768.2801482806,37048.65386316235,41353.483581189306,45716.41148801004,49956.873023312204,54017.03415548388,57681.90235489848,61035.60581270461,64042.813554702225,67056.48730989065,69885.63634984655,72196.48737758739
IIASA 2023,SSP1,Central African Republic,GDP|PPP per capita,USD_2021/yr,932.5933314810021,1368.2827950655276,2027.2004143380263,2989.5377707843077,4262.256051442342,5931.229881087178,7986.874210543189,10332.262025576045,12818.978788798198,15416.149255823078,18150.855354859512,20899.909841386125,23588.83893977978,26203.071400300512,28807.991055024824,30711.405404466568
IIASA 2023,SSP1,Canada,GDP|PPP per capita,USD_2021/yr,57741.50360973678,60618.93837916846,62755.169208569016,64619.80459329845,66699.46256240908,69528.32455054404,72394.37385010938,76035.14063400653,80327.14671622214,84650.16255632948,89075.69896879685,94030.90291894763,99552.26605168157,105551.48479879438,111796.06712020538,115497.37720134624
IIASA 2023,SSP1,Switzerland,GDP|PPP per capita,USD_2021/yr,81267.58900450007,86021.51313822149,91190.91388447785,96285.51832604408,101771.5231698068,107532.99604127186,113828.41934866716,121526.44088745207,130043.81510809276,138364.9682055102,145793.6660417984,153020.79265065724,160189.9723951452,167702.68689103654,175035.21937373476,177309.28528144956
IIASA 2023,SSP1,Chile,GDP|PPP per capita,USD_2021/yr,28604.431839080873,32295.17162852667,36171.5383872228,39930.282374992086,44062.69157614866,47972.86372569422,51424.84189005351,54790.637546038444,58207.46920843945,61414.43983485627,64151.22254295947,66697.1305115065,69340.35659783363,73246.02813563314,77902.38081073193,82078.16702582187
IIASA 2023,SSP1,China,GDP|PPP per capita,USD_2021/yr,17269.468340833595,19770.21669288448,22768.097464222956,26688.58336342954,31844.178241141657,36668.433875299976,40824.74045479402,46465.69558244245,52400.176183581745,57351.944747917274,61217.47792588513,64383.47725134611,67627.90447033837,71898.02109247379,75282.61342387086,77625.83331211779
IIASA 2023,SSP1,C?te d'Ivoire,GDP|PPP per capita,USD_2021/yr,7086.335662640802,8373.860472771454,10153.25159874448,12624.141131906965,15741.775005549258,19715.790180006046,24194.756508952167,29007.38732163131,33833.288250851445,38609.72381717952,43158.61590796403,47403.07837588957,51372.94147487739,55121.50713929138,58830.65957732833,61439.18954293504
IIASA 2023,SSP1,Cameroon,GDP|PPP per capita,USD_2021/yr,4463.735912306323,5917.444055147531,7862.089467653281,10333.615558332436,13210.011062392157,16594.27079810948,20196.4677576599,24031.307940937128,27794.734197928814,31337.82974539692,34662.946878598115,37705.45325401593,40501.66793512638,43175.542473155285,45818.82032137439,47488.92356486156
IIASA 2023,SSP1,Democratic Republic of the Congo,GDP|PPP per capita,USD_2021/yr,1423.5238247172033,2029.685723556684,2899.8407472518243,4110.852118528159,5727.641290957543,7861.991868430471,10539.29911314958,13766.642056028037,17368.199767682185,21207.27941751317,25155.52099101185,29111.9899887529,33002.03776035147,36854.88075554473,40720.550832536435,43593.9688590469
IIASA 2023,SSP1,Congo,GDP|PPP per capita,USD_2021/yr,4028.066133320658,4857.042725722866,5948.785893339582,7510.7543888607015,9455.340144714659,11807.306889228985,14453.202148876315,17469.63122790732,20614.230214254345,23710.798352431593,26664.27346537011,29491.690337688855,32239.12936818267,34932.990571829476,37648.63099161256,39677.18391159062
IIASA 2023,SSP1,Colombia,GDP|PPP per capita,USD_2021/yr,18375.885288999085,21765.899692819297,25667.33126823956,29689.420378678853,33734.64079326469,37641.53951800383,41392.4580835441,45283.78522956742,49074.1660359389,52981.00203681958,56716.125411811285,60118.935701885,63082.87935531577,65944.99204079983,68714.92218506301,71023.59052825358
IIASA 2023,SSP1,Comoros,GDP|PPP per capita,USD_2021/yr,3818.41186143317,5252.014964010953,7142.109301817187,9455.61428645309,12133.35694113587,15146.31084533666,18255.736166421964,21448.419136142296,24496.50713109625,27364.88059411889,29980.19207346661,32453.463365953092,34810.84538253889,37120.20135487942,39435.364248517006,40881.106232288315
IIASA 2023,SSP1,Cabo Verde,GDP|PPP per capita,USD_2021/yr,9215.435160977284,10983.329142819877,13247.057506128447,16175.748806822912,19528.244402769014,23440.933891437755,27709.97947716384,32392.044607712403,37376.05433838123,42514.74398667005,47460.10622140166,51849.703018817156,55707.01292170662,59250.25090966457,62701.58412180557,65083.92736343018
IIASA 2023,SSP1,Costa Rica,GDP|PPP per capita,USD_2021/yr,25543.66400546892,28487.76067607489,32057.753130827157,36264.09289046774,40851.8117837217,45642.900062554436,50468.351555035486,56134.35570398914,61626.68141951263,66988.25618702553,71614.07711229044,75724.7324526818,79486.84592291291,83288.44164683789,87288.43147351248,91348.14972405096
IIASA 2023,SSP1,Cyprus,GDP|PPP per capita,USD_2021/yr,37023.36895211702,43009.42055620647,48886.708742449504,53385.08042949317,57232.36350037811,60603.925942107286,64246.05833895034,68567.32712005202,72597.5266807458,75726.81025161482,78506.24287762037,81430.04391877177,85471.6311861923,90963.74604105123,97216.6801923121,101885.70419118693
IIASA 2023,SSP1,Czechia,GDP|PPP per capita,USD_2021/yr,47043.83299674209,49003.42691067471,51395.19742534161,54600.247455617144,57397.88660504858,60576.22564008265,63773.1159422246,68176.07355401509,72467.03834605595,76095.87861648413,79165.21137912998,83130.31115570969,88038.95983804241,93960.51097965342,100728.30271432655,105710.25616062246
IIASA 2023,SSP1,Germany,GDP|PPP per capita,USD_2021/yr,61661.31033918043,63953.36443437948,66648.98079803257,70170.4323172809,72448.51051815032,75152.96119156525,77750.6237359707,83526.06160100654,89935.86872435249,97188.58404813257,104521.71949300231,111759.12577039842,119139.24625078878,127036.93229622452,135387.3271385258,140882.25984854225
