"Model","Scenario","Region","Variable","Unit","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"IIASA-WiC POP 2023","SSP1","Aruba","Population","million",0.10666400000000001,0.10866400000000001,0.11072000000000001,0.11252899999999999,0.114088,0.11548699999999901,0.116601,0.11747300000000001,0.11816399999999999,0.118437,0.118465,0.118211,0.11752000000000001,0.11627599999999999,0.11440299999999999,0.11183699999999999,0.108496
"IIASA-WiC POP 2023","SSP1","Afghanistan","Population","million",38.326031,43.793695,49.23856,54.439767,59.275958,63.892211,68.11567500000001,71.776,74.77905100000001,77.2072450000001,79.017442,80.21610000000001,80.726987,80.546983,79.80978999999999,78.60711499999991,76.984947
"IIASA-WiC POP 2023","SSP1","Angola","Population","million",32.899002,37.90199,42.685853,47.354971,51.825379000000005,56.146416,60.172180000000104,63.756125000000004,66.86027000000011,69.467627,71.5305,73.055205,73.977367,74.26133800000001,73.87757300000011,72.94830800000001,71.521112
"IIASA-WiC POP 2023","SSP1","Albania","Population","million",2.8721300000000003,2.792432,2.7145770000000002,2.615949999999999,2.505335,2.390556,2.274377,2.157842,2.041092,1.933387999999999,1.835433,1.746858,1.6649280000000002,1.585972,1.507258,1.4283460000000001,1.351713999999999
"IIASA-WiC POP 2023","SSP1","United Arab Emirates","Population","million",9.247554000000001,9.769444,10.232632,10.615065000000001,10.93263,11.223633,11.489947,11.696575000000001,11.808352999999999,11.778198,11.597871,11.27414,10.827221,10.292183000000001,9.719191,9.162433000000002,8.658027
"IIASA-WiC POP 2023","SSP1","Argentina","Population","million",44.908440999999996,45.898345,46.799912,47.530373,48.060967,48.4434809999999,48.632883,48.60973200000001,48.329408,47.839657,47.167588,46.330638,45.336616,44.19872,42.918195,41.481235,39.871432999999996
"IIASA-WiC POP 2023","SSP1","Armenia","Population","million",2.812494,2.762665,2.720682,2.6686769999999997,2.6148819999999997,2.563396,2.510375,2.453386,2.391641,2.333004,2.278013,2.224726,2.170389,2.113985,2.057776,2.006171,1.9619
"IIASA-WiC POP 2023","SSP1","Antigua and Barbuda","Population","million",0.092375,0.095305,0.097642,0.099427,0.100578,0.101203,0.101325,0.10091800000000001,0.100081999999999,0.098771,0.09706100000000001,0.094981,0.09246399999999999,0.08950300000000001,0.086107,0.082328,0.078225
"IIASA-WiC POP 2023","SSP1","Australia","Population","million",25.544183,26.566755,27.552044000000002,28.468774000000003,29.326610000000002,30.175044000000003,31.024163,31.789861000000002,32.459956,33.00287,33.432817,33.739290000000004,33.894564,33.791432,33.344692,32.587951000000004,31.663501
"IIASA-WiC POP 2023","SSP1","Austria","Population","million",8.901099999999989,9.051197,9.123096,9.18258000000001,9.23396900000001,9.29232600000001,9.348031,9.37575,9.365927,9.32130100000001,9.26301999999999,9.197004000000002,9.108754000000001,8.933748,8.675261,8.344018,7.983852
"IIASA-WiC POP 2023","SSP1","Azerbaijan","Population","million",10.273527,10.487827,10.717747,10.922182000000001,11.069437,11.135987,11.124802,11.058857,10.956788000000001,10.825171000000001,10.659708,10.456246,10.21797,9.95813300000001,9.693,9.436565,9.185424000000001
"IIASA-WiC POP 2023","SSP1","Burundi","Population","million",12.053895,13.526911,14.89391,16.212526,17.456809,18.636942,19.687779,20.546378,21.195318,21.685688,22.028181,22.23497,22.293262,22.193378000000003,21.948248,21.561076,21.043241000000002
"IIASA-WiC POP 2023","SSP1","Belgium","Population","million",11.54127,11.699086,11.826698,11.96094,12.099271000000002,12.239867,12.372183000000001,12.459907,12.507838,12.524700000000001,12.526981,12.517168,12.477884,12.364666,12.142974,11.844059,11.477641
"IIASA-WiC POP 2023","SSP1","Benin","Population","million",12.466822,14.132361999999999,15.721397000000001,17.226934,18.635723000000002,19.991063999999998,21.241118999999998,22.32225,23.198535,23.92971,24.502029999999998,24.927635,25.169643,25.236804,25.124841,24.865505000000002,24.478222000000002
"IIASA-WiC POP 2023","SSP1","Burkina Faso","Population","million",21.23189,23.825142,26.271117999999998,28.662135,30.958081,33.18576,35.209002999999996,36.89353,38.240397,39.340674,40.216309,40.865218999999996,41.245665,41.323049,41.106448,40.649777,40.008612
