entity_code,entity_name,historical_population,historical_population_first_year,historical_population_last_year,historical_electricity_demand_per_capita,historical_electricity_demand_per_capita_first_year,historical_electricity_demand_per_capita_last_year,historical_gdp_ppp_per_capita,historical_gdp_ppp_per_capita_first_year,historical_gdp_ppp_per_capita_last_year,future_population,future_gdp_ppp_per_capita,future_electricity_demand_per_capita,area_greater_than_500_km2
ABW,Aruba,True,1960.0,2024.0,True,2000.0,2022.0,True,1986.0,2024.0,True,True,True,False
AFG,Afghanistan,True,1960.0,2024.0,True,2000.0,2023.0,True,2000.0,2024.0,True,True,True,True
AGO,Angola,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
AIA,Anguilla,False,,,False,,,False,,,False,False,False,False
ALA,Åland Islands,False,,,False,,,False,,,False,False,False,True
ALB,Albania,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
AND,Andorra,True,1960.0,2024.0,False,,,True,1990.0,2024.0,False,False,False,False
ARE,United Arab Emirates,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
ARG,Argentina,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
ARM,Armenia,True,1960.0,2024.0,True,1990.0,2024.0,True,1990.0,2024.0,True,True,True,True
ASM,American Samoa,True,1960.0,2024.0,True,2000.0,2023.0,False,,,False,False,False,False
ATA,Antarctica,False,,,False,,,False,,,False,False,False,True
ATF,French Southern Territories,False,,,False,,,False,,,False,False,False,True
ATG,Antigua and Barbuda,True,1960.0,2024.0,True,2000.0,2023.0,True,1980.0,2024.0,True,True,False,False
AUS,Australia,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
AUS_ACT,Subdivision of Australia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
AUS_NSW,Subdivision of Australia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
AUS_NT,Subdivision of Australia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
AUS_QLD,Subdivision of Australia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
AUS_SA,Subdivision of Australia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
AUS_TAS,Subdivision of Australia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
AUS_VIC,Subdivision of Australia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
AUS_WA,Subdivision of Australia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
AUS_X02~,Subdivision of Australia,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,False
AUT,Austria,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
AZE,Azerbaijan,True,1960.0,2024.0,True,1990.0,2024.0,True,1990.0,2024.0,True,True,True,True
BDI,Burundi,True,1960.0,2024.0,True,2000.0,2023.0,True,1980.0,2024.0,True,True,True,True
BEL,Belgium,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
BEN,Benin,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
BFA,Burkina Faso,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
BGD,Bangladesh,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
BGR,Bulgaria,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
BHR,Bahrain,True,1960.0,2024.0,True,1990.0,2023.0,True,1980.0,2024.0,True,True,True,True
BHS,Bahamas,True,1960.0,2024.0,True,2000.0,2022.0,True,1980.0,2024.0,True,True,True,True
BIH,Bosnia and Herzegovina,True,1960.0,2024.0,True,1990.0,2024.0,True,1990.0,2024.0,True,True,True,True
BLM,Saint Barthélemy,False,,,False,,,False,,,False,False,False,False
BLR,Belarus,True,1960.0,2024.0,True,1990.0,2024.0,True,1990.0,2024.0,True,True,True,True
BLZ,Belize,True,1960.0,2024.0,True,2000.0,2023.0,True,1980.0,2024.0,True,True,True,True
BMU,Bermuda,True,1960.0,2024.0,True,2000.0,2023.0,True,1990.0,2024.0,False,False,False,False
BOL,"Bolivia, Plurinational State of",True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
BRA,Brazil,True,1960.0,2024.0,True,1990.0,2024.0,True,1980.0,2024.0,True,True,True,True
BRA_AC,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_AL,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_AM,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_AP,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_BA,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_CE,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_DF,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_ES,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_GO,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_MA,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_MG,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_MS,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_MT,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_N,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_NE,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_PA,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_PB,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_PE,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_PI,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_PR,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_RJ,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_RN,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_RO,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_RR,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_RS,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_S,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_SC,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
BRA_SE,Subdivision of Brazil,False,,,True,1990.0,2024.0,True,1980.0,2024.0,False,True,True,True
